paired,handshake_ms,ice_gather_laptop_ms,ice_gather_phone_ms,offer_bytes,qr_chars,answer_bytes,answer_b64_chars,audio_attempts,transfer_ok,transfer_kbps,transfer_size,transfer_ms,failure,iter
True,7097,130,130,62,83,62,83,1,True,2000,102400,50,,1
True,7112,146,121,62,83,62,83,1,True,1587,102400,63,,2
True,8054,149,118,62,83,62,83,1,True,1667,102400,60,,3
True,7139,143,122,62,83,62,83,1,True,2381,102400,42,,4
True,7208,131,118,62,83,62,83,1,True,2326,102400,43,,5
True,7257,130,130,62,83,62,83,1,True,2174,102400,46,,6
True,7707,142,138,62,83,62,83,1,True,3333,102400,30,,7
True,7361,129,138,62,83,62,83,1,True,2128,102400,47,,8
True,7327,127,130,62,83,62,83,1,True,2564,102400,39,,9
False,,130,120,62,83,62,83,,False,,,,pairing,10
True,7322,129,125,62,83,62,83,1,True,6966,1048576,147,,11
True,7138,119,122,62,83,62,83,1,True,7420,1048576,138,,12
True,8179,159,129,62,83,62,83,1,True,7014,1048576,146,,13
True,7434,128,132,62,83,62,83,1,True,7062,1048576,145,,14
True,7241,124,134,62,83,62,83,1,True,7699,1048576,133,,15
True,7041,116,125,62,83,62,83,1,True,5476,1048576,187,,16
True,10780,136,120,62,83,62,83,1,True,7314,1048576,140,,17
True,7097,162,135,62,83,62,83,1,True,7420,1048576,138,,18
True,7161,130,146,62,83,62,83,1,True,8192,1048576,125,,19
True,7199,128,122,62,83,62,83,1,True,7817,1048576,131,,20
True,7257,125,142,62,83,62,83,1,True,5125,10485760,1998,,21
True,7110,123,125,62,83,62,83,1,True,5892,10485760,1738,,22
True,7082,143,122,62,83,62,83,1,True,7320,10485760,1399,,23
True,7291,132,136,62,83,62,83,1,True,9225,10485760,1110,,24
True,7183,132,123,62,83,62,83,1,True,7004,10485760,1462,,25
True,7351,131,119,62,83,62,83,1,True,4865,10485760,2105,,26
True,7121,128,137,62,83,62,83,1,True,9517,10485760,1076,,27
True,7313,136,126,62,83,62,83,1,True,8656,10485760,1183,,28
True,8046,133,143,62,83,62,83,1,True,3861,10485760,2652,,29
True,7243,130,131,62,83,62,83,1,True,5317,10485760,1926,,30
